Date,Time,Input Source,Output Destination,Job Information,Page Information,Pages,Sheets,Job Status,Job Hierarchy,Job Number
31/03/2023,15:16:15,LPD:SGSIN1BL7165:Microsoft Word - Document1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,1,1,Completed,,e7822819-cf93-11ed-8000-1c7d22323175
31/03/2023,15:05:04,LPD:SGSIN1BL7118:538567_21690 (002).pdf,Center Output Tray,1 Sided:PCL6,Color:A4:Plain:White,9,9,Completed,,52022816-cf92-11ed-8000-1c7d22323175
31/03/2023,14:58:48,Scanner,Center Output Tray,1 Sided,Color:A3:Plain:White,1,1,Completed,,75822815-cf91-11ed-8000-1c7d22323175
31/03/2023,14:58:34,Scanner,Center Output Tray,1 Sided,Color:A3:Plain:White,1,1,Completed,,6d022814-cf91-11ed-8000-1c7d22323175
31/03/2023,14:58:14,Scanner,Center Output Tray,1 Sided,Color:A3:Plain:White,1,1,Completed,,61022813-cf91-11ed-8000-1c7d22323175
31/03/2023,14:55:21,LPD:SGSIN1BL5001:DenisCadogan:Microsoft Word - Lesson 2 Penguin Fact File,,1 Pages Up,,,0,Completed with error(016-757):Invalid User,,00822810-cf91-11ed-8000-1c7d22323175
31/03/2023,14:37:28,Scanner,SMTP:Ajay waranm,PDF:JPEG,Color,1,,Completed,,7782280d-cf8e-11ed-8000-1c7d22323175
31/03/2023,14:30:18,LPD:SGSIN1BL7118:document,Center Output Tray,1 Sided:PCL6,Black & White:A4:Plain:White,3,3,Completed,,7b82280a-cf8d-11ed-8000-1c7d22323175
31/03/2023,14:28:49,LPD:SGSIN1BL7138:Microsoft Word - Contract Staff Timesheet (PDF),Center Output Tray,1 Pages Up:1 Sided:PCL6,Black & White:A4:Plain:White,1,1,Completed,,47022807-cf8d-11ed-8000-1c7d22323175
31/03/2023,14:21:20,Scanner,Center Output Tray,2 Sided,Color:A4:Plain:White,2,1,Completed,,34022804-cf8c-11ed-8000-1c7d22323175
31/03/2023,14:20:54,Scanner,,,,,0,Deleted,,2f822801-cf8c-11ed-8000-1c7d22323175
31/03/2023,14:20:47,Scanner,Center Output Tray,2 Sided,Color:A4:Plain:White,2,1,Completed,,200227fe-cf8c-11ed-8000-1c7d22323175
31/03/2023,14:20:22,Scanner,,,,,0,Deleted,,1b8227fb-cf8c-11ed-8000-1c7d22323175
31/03/2023,14:20:15,Scanner,Center Output Tray,2 Sided,Color:A4:Plain:White,2,1,Completed,,0d0227f8-cf8c-11ed-8000-1c7d22323175
31/03/2023,14:19:51,Scanner,Center Output Tray,2 Sided,Color:A4:Plain:White,2,1,Completed,,fe0227f5-cf8b-11ed-8000-1c7d22323175
31/03/2023,14:18:34,Scanner,Center Output Tray,2 Sided,Black & White:A4:Plain:White,2,1,Completed,,d08227f2-cf8b-11ed-8000-1c7d22323175
31/03/2023,14:18:10,Scanner,Center Output Tray,2 Sided,Black & White:A4:Plain:White,2,1,Completed,,c18227ef-cf8b-11ed-8000-1c7d22323175
31/03/2023,14:13:08,LPD:SGSIN1BL7011:16001:Logo of school,Center Output Tray,1 Pages Up:1 Sided:PCL6,"Color:A4:Plain:White
Black & White:A4:Plain:White","     1
     2",3,Completed,,128227ec-cf8b-11ed-8000-1c7d22323175
31/03/2023,13:45:56,Scanner,SMTP:SG Mobility,PDF:JPEG,Color,5,,Completed,,338227e9-cf87-11ed-8000-1c7d22323175
31/03/2023,13:08:50,LPD:SGSIN1BC7100:16001:Microsoft Word - Document1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,1a8227e6-cf82-11ed-8000-1c7d22323175
31/03/2023,13:07:53,LPD:SGSIN1BC7100:16001:Microsoft Word - Document1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,f80227e3-cf81-11ed-8000-1c7d22323175
31/03/2023,13:05:27,LPD:SGSIN1BC7100:16001:Microsoft Word - Document1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,a18227e0-cf81-11ed-8000-1c7d22323175
31/03/2023,13:04:37,LPD:SGSIN1BC7100:16001:Microsoft Word - Document1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,828227dd-cf81-11ed-8000-1c7d22323175
31/03/2023,13:03:07,LPD:SGSIN1BC7100:16001:Microsoft Word - Document1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,4d0227da-cf81-11ed-8000-1c7d22323175
31/03/2023,13:01:34,LPD:SGSIN1BC7100:16001:Microsoft Word - Document1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,158227d7-cf81-11ed-8000-1c7d22323175
31/03/2023,12:56:35,LPD:SGSIN1BC7100:16001:Microsoft Word - Document1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,630227d4-cf80-11ed-8000-1c7d22323175
31/03/2023,12:54:59,LPD:SGSIN1BC7100:16001:Microsoft Word - Document1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,260227d1-cf80-11ed-8000-1c7d22323175
31/03/2023,11:49:07,LPD:SGSIN1BL7118:EPOL_Letter - Andy (1).pdf,Center Output Tray,1 Sided:PCL6,Color:A4:Plain:White,13,13,Completed,,eb0227ce-cf76-11ed-8000-1c7d22323175
31/03/2023,10:27:32,LPD:SGSIN1BL7011:16001:document1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,14,14,Completed,,898227cb-cf6b-11ed-8000-1c7d22323175
31/03/2023,10:05:51,Scanner,Center Output Tray,2 Sided,Color:A4:Plain:White,2,1,Completed,,830227c8-cf68-11ed-8000-1c7d22323175
31/03/2023,10:05:29,Scanner,Center Output Tray,2 Sided,Color:A4:Plain:White,2,1,Completed,,760227c5-cf68-11ed-8000-1c7d22323175
31/03/2023,10:04:16,Scanner,Center Output Tray,2 Sided,Color:A4:Plain:White,2,1,Completed,,4a0227c2-cf68-11ed-8000-1c7d22323175
31/03/2023,10:03:49,Scanner,,,,,0,Deleted,,458227bf-cf68-11ed-8000-1c7d22323175
31/03/2023,10:03:42,Scanner,,,,,0,Deleted,,410227bc-cf68-11ed-8000-1c7d22323175
31/03/2023,10:03:37,Scanner,Center Output Tray,2 Sided,Color:A4:Plain:White,2,1,Completed,,338227b9-cf68-11ed-8000-1c7d22323175
31/03/2023,10:03:11,Scanner,,,,,0,Deleted,,2e8227b6-cf68-11ed-8000-1c7d22323175
31/03/2023,10:03:08,Scanner,,,,,0,Deleted,,2b8227b3-cf68-11ed-8000-1c7d22323175
31/03/2023,10:03:00,Scanner,Center Output Tray,2 Sided,Color:A4:Plain:White,2,1,Completed,,1d0227b0-cf68-11ed-8000-1c7d22323175
31/03/2023,10:02:38,Scanner,Center Output Tray,2 Sided,Color:A4:Plain:White,2,1,Completed,,0e0227ad-cf68-11ed-8000-1c7d22323175
31/03/2023,10:02:09,Scanner,,,,,0,Deleted,,0a0227aa-cf68-11ed-8000-1c7d22323175
31/03/2023,10:02:03,Scanner,,,,,0,Deleted,,060227a7-cf68-11ed-8000-1c7d22323175
31/03/2023,9:49:05,LPD:SGSIN1BL7011:16001:Distinguishing-Between-Short-I-and-Short-E.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,1b0227a4-cf66-11ed-8000-1c7d22323175
30/03/2023,19:42:09,Scanner,SMTP:Ajay waranm,PDF:MMR,Black & White,1,,Completed,,e38227a1-ceef-11ed-8000-1c7d22323175
30/03/2023,19:04:34,LPD:SGSIN1BL7040:Microsoft Word - Document1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,a202279e-ceea-11ed-8000-1c7d22323175
30/03/2023,19:03:58,LPD:SGSIN1BL7040:Microsoft Word - Document1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,8c82279b-ceea-11ed-8000-1c7d22323175
30/03/2023,19:03:21,LPD:SGSIN1BL7040:Microsoft Word - Document1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,71022798-ceea-11ed-8000-1c7d22323175
30/03/2023,19:00:40,LPD:SGSIN1BFP001:SandraBodestyne:PV Week 14,,1 Pages Up,,,0,Completed with error(016-757):Invalid User,,1b022795-ceea-11ed-8000-1c7d22323175
30/03/2023,18:58:30,LPD:SGSIN1BFP001:SandraBodestyne:PV Week 14,,1 Pages Up,,,0,Completed with error(016-757):Invalid User,,ce022792-cee9-11ed-8000-1c7d22323175
30/03/2023,18:52:06,LPD:SGSIN1BC7100:16001:Microsoft Word - Document1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,e382278f-cee8-11ed-8000-1c7d22323175
30/03/2023,18:48:50,LPD:SGSIN1BC7100:16001:Microsoft Word - Document1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,6d82278c-cee8-11ed-8000-1c7d22323175
30/03/2023,18:30:48,LPD:SGSIN1BFP001:SandraBodestyne:Idiom Week 15,,1 Pages Up,,,0,Completed with error(016-757):Invalid User,,ef822789-cee5-11ed-8000-1c7d22323175
30/03/2023,18:30:13,LPD:SGSIN1BL7040:Microsoft Word - Document1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,d5022786-cee5-11ed-8000-1c7d22323175
30/03/2023,18:17:06,LPD:SGSIN1BL7040:P2_T2_SN.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,3,3,Completed,,00022783-cee4-11ed-8000-1c7d22323175
30/03/2023,18:16:32,Scanner,Center Output Tray,1 Sided,Color:A3:Plain:White,1,1,Completed,,eb822782-cee3-11ed-8000-1c7d22323175
30/03/2023,18:16:18,Scanner,Center Output Tray,1 Sided,Color:A3:Plain:White,1,1,Completed,,e3822781-cee3-11ed-8000-1c7d22323175
30/03/2023,18:16:02,Scanner,Center Output Tray,1 Sided,Color:A4:Plain:White,2,2,Completed,,d7822780-cee3-11ed-8000-1c7d22323175
30/03/2023,18:15:27,Scanner,Center Output Tray,1 Sided,Color:A4:Plain:White,1,1,Completed,,c582277f-cee3-11ed-8000-1c7d22323175
30/03/2023,18:15:07,Scanner,Center Output Tray,1 Sided,Color:A3:Plain:White,1,1,Completed,,b902277e-cee3-11ed-8000-1c7d22323175
30/03/2023,18:11:19,LPD:SGSIN1BL7040:Book1,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A3:Plain:White,8,8,Completed,,2082277b-cee3-11ed-8000-1c7d22323175
30/03/2023,17:16:02,LPD:SGSIN1BL7013:Microsoft Word - Homework tracking,Center Output Tray,1 Pages Up:1 Sided:PCL6,Black & White:A4:Plain:White,1,1,Completed,,79822778-cedb-11ed-8000-1c7d22323175
30/03/2023,17:05:40,LPD:SGSIN1BC4090:16001:Spelling Test Sheet Lesson 12.pdf,Right-Top Output Tray,1 Pages Up:1 Sided:PCL6,Black & White:A4:Plain:White,20,20,Completed,,f8022775-ced9-11ed-8000-1c7d22323175
30/03/2023,17:04:34,LPD:SGSIN1BC4090:16001:Spelling Test Easy.pdf,Right-Top Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,20,20,Completed,,a9022772-ced9-11ed-8000-1c7d22323175
30/03/2023,17:04:13,LPD:SGSIN1BC4090:16001:Lesson 12 Phonics Review Worksheets 2019.pdf,Right-Top Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,3,3,Completed,,8a82276f-ced9-11ed-8000-1c7d22323175
30/03/2023,17:04:05,LPD:SGSIN1BC4090:16001:Microsoft Word - Notes for  Exam Practice Activity 3 1 wed,Right-Middle Output Tray,1 Pages Up:2 Sided:PCL6,Color:A4:Plain:White,60,40,Completed,,5082276c-ced9-11ed-8000-1c7d22323175
30/03/2023,17:02:05,LPD:SGSIN1BC4090:16001:Microsoft Word - Notes for  Exam Practice Activity 3 1,Center Output Tray,1 Pages Up:2 Sided:PCL6,"Black & White:A4:Plain:White
Color:A4:Plain:White","    30

    30",30,Completed,,34822769-ced9-11ed-8000-1c7d22323175
30/03/2023,16:57:20,LPD:SGSIN1BL7013:Microsoft Word - P2 T2 Lesson 12 - Animal movement room walk,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,15,15,Completed,,d3022766-ced8-11ed-8000-1c7d22323175
30/03/2023,16:49:11,Scanner,SMTP:Joselyn Heng,PDF:MMR,Black & White,2,,Completed,,b9022763-ced7-11ed-8000-1c7d22323175
30/03/2023,16:34:45,Scanner,SMTP:Jasmyn Ng ChieuNoi,PDF:JPEG,Color,1,,Completed,,b5022760-ced5-11ed-8000-1c7d22323175
30/03/2023,16:32:50,Scanner,Send Fax,File 3313,,,,Completed,,4802275c-ced5-11ed-8000-1c7d22323175
30/03/2023,16:32:49,Folder ,G3:67878976:Citibank Singapore,File 3313,,,,Completed,Child Job,4802275c-ced5-11ed-8000-1c7d22323175
30/03/2023,16:30:14,LPD:SGSIN1BL7006:Snipping Tool Print Job,Center Output Tray,1 Pages Up:1 Sided:PCL6,Black & White:A4:Plain:White,1,1,Completed,,12822759-ced5-11ed-8000-1c7d22323175
30/03/2023,16:24:26,LPD:SGSIN1BL7006:Microsoft Word - BC Spore Letter Head - ID ICO,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,1,1,Completed,,43822756-ced4-11ed-8000-1c7d22323175
30/03/2023,16:20:19,Scanner,SMTP:Raudhah,PDF:MMR,Black & White,1,,Completed,,b1822753-ced3-11ed-8000-1c7d22323175
30/03/2023,16:05:06,Scanner,Center Output Tray,1 Sided,Color:A4:Plain:White,1,1,Completed,,91022752-ced1-11ed-8000-1c7d22323175
30/03/2023,16:03:57,LPD:SGSIN1BL7011:16001:t-s-2546904-ks1-dyslexia-research-the-wright-brothers-fact-file_ver_1.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,1,1,Completed,,6702274f-ced1-11ed-8000-1c7d22323175
30/03/2023,16:02:59,LPD:SGSIN1BL7011:16001:t-h-1649681273-the-wright-brothers-word-mat_ver_1.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,1,1,Completed,,4402274c-ced1-11ed-8000-1c7d22323175
30/03/2023,15:48:11,LPD:SGSIN1BL7006:Test Page,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,1,1,Completed,,33022749-cecf-11ed-8000-1c7d22323175
30/03/2023,15:46:17,LPD:SGSIN1BL7006:JasmynNgChieuNoi:Test Page,,1 Pages Up,,,0,Completed with error(016-757):Invalid User,,f3022746-cece-11ed-8000-1c7d22323175
30/03/2023,15:44:52,LPD:SGSIN1BL7006:JasmynNgChieuNoi:Microsoft Word - Document1,,1 Pages Up,,,0,Completed with error(016-757):Invalid User,,c1022743-cece-11ed-8000-1c7d22323175
30/03/2023,15:37:20,LPD:SGSIN1BL7174:16001:Microsoft Word - Personal Questionnaire,Center Output Tray,1 Pages Up:1 Sided:PCL6,Black & White:A4:Plain:White,10,10,Completed,,aa022740-cecd-11ed-8000-1c7d22323175
30/03/2023,15:36:11,Scanner,SMTP:Lissy Vadakel,PDF:MMR,Black & White,1,,Completed,,8702273d-cecd-11ed-8000-1c7d22323175
30/03/2023,15:36:02,Scanner,SMTP:Lissy Vadakel,PDF:MMR,Black & White,1,,Completed,,8182273a-cecd-11ed-8000-1c7d22323175
30/03/2023,15:35:53,Scanner,SMTP:Lissy Vadakel,PDF:MMR,Black & White,1,,Completed,,7c022737-cecd-11ed-8000-1c7d22323175
30/03/2023,15:35:44,Scanner,SMTP:Lissy Vadakel,PDF:MMR,Black & White,1,,Completed,,77022734-cecd-11ed-8000-1c7d22323175
30/03/2023,15:35:20,Scanner,SMTP:Lissy Vadakel,PDF:MMR,Black & White,1,,Completed,,68822731-cecd-11ed-8000-1c7d22323175
30/03/2023,15:35:11,Scanner,SMTP:Lissy Vadakel,PDF:MMR,Black & White,1,,Completed,,6302272e-cecd-11ed-8000-1c7d22323175
30/03/2023,15:34:39,Scanner,SMTP:Lissy Vadakel,PDF:MMR,Black & White,1,,Completed,,5002272b-cecd-11ed-8000-1c7d22323175
30/03/2023,15:34:27,Scanner,SMTP:Lissy Vadakel,PDF:MMR,Black & White,1,,Completed,,49022728-cecd-11ed-8000-1c7d22323175
30/03/2023,15:34:14,Scanner,SMTP:Lissy Vadakel,PDF:MMR,Black & White,1,,Completed,,41022725-cecd-11ed-8000-1c7d22323175
30/03/2023,15:33:55,Scanner,SMTP:Lissy Vadakel,PDF:MMR,Black & White,1,,Completed,,36022722-cecd-11ed-8000-1c7d22323175
30/03/2023,15:33:18,Scanner,SMTP:SG Mobility,PDF:JPEG,Color,56,,Completed,,f302271f-cecc-11ed-8000-1c7d22323175
30/03/2023,15:21:25,LPD:SGSIN1BL7041:Untitled design.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,9,9,Completed,,7102271c-cecb-11ed-8000-1c7d22323175
30/03/2023,15:20:14,LPD:SGSIN1BL7041:2023-03-01-2023-03-29_Invoice_summary_Meta.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,1,1,Completed,,4a022719-cecb-11ed-8000-1c7d22323175
30/03/2023,14:51:04,LPD:SGSIN1BL7174:16001:Microsoft Word - Classroom Vocabulary,Center Output Tray,1 Pages Up:1 Sided:PCL6,Black & White:A4:Plain:White,1,1,Completed,,39022716-cec7-11ed-8000-1c7d22323175
30/03/2023,14:48:36,LPD:SGSIN1BL7112:Microsoft Outlook - Memo Style,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,1,1,Completed,,e0822713-cec6-11ed-8000-1c7d22323175
30/03/2023,14:47:53,LPD:SGSIN1BL7112:RaudhahAbs:Microsoft Outlook - Memo Style,,1 Pages Up,,,0,Completed with error(016-757):Invalid User,,ca822710-cec6-11ed-8000-1c7d22323175
30/03/2023,14:44:02,LPD:SGSIN1BL7112:Microsoft Outlook - Memo Style,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,3b02270d-cec6-11ed-8000-1c7d22323175
30/03/2023,14:43:59,LPD:SGSIN1BL5031:Copy of PrOF_Template_Activity Based Budget_v1.xlsx,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A3:Plain:White,1,1,Completed,,3982270a-cec6-11ed-8000-1c7d22323175
30/03/2023,14:24:44,LPD:SGSIN1BL7011:16001:t2-d-023-how-to-make-a-paper-aeroplane-craft-instructions-_ver_3.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,1,1,Completed,,8b822707-cec3-11ed-8000-1c7d22323175
30/03/2023,14:24:25,LPD:SGSIN1BL7011:16001:t-tp-1641390237-how-to-draw-an-aeroplane_ver_1.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,1,1,Completed,,80022704-cec3-11ed-8000-1c7d22323175
30/03/2023,14:24:05,LPD:SGSIN1BL7011:16001:t-h-1654850838-comparing-the-wright-gli...ern-aeroplane-activity-sheet_ver_1.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,1,1,Completed,,74022701-cec3-11ed-8000-1c7d22323175
30/03/2023,14:23:06,Scanner,SMTP:SG Mobility,PDF:JPEG,Color,2,,Completed,,4f8226fe-cec3-11ed-8000-1c7d22323175
30/03/2023,14:22:54,Scanner,SMTP:SG Mobility,PDF:JPEG,Color,2,,Completed,,490226fb-cec3-11ed-8000-1c7d22323175
30/03/2023,14:22:50,LPD:SGSIN1BL7011:16001:wright-brothers-word-search.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,1,1,Completed,,470226f8-cec3-11ed-8000-1c7d22323175
30/03/2023,14:22:01,LPD:SGSIN1BL7011:16001:us-e-503--wright-brothers-first-flight-color-and-respond-activity_ver_1.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,1,1,Completed,,2a0226f5-cec3-11ed-8000-1c7d22323175
30/03/2023,14:21:27,LPD:SGSIN1BL7011:16001:t-h-1648548908-the-wright-brothers-mind-map-_ver_2.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,1,1,Completed,,158226f2-cec3-11ed-8000-1c7d22323175
30/03/2023,14:20:23,LPD:SGSIN1BL7011:16001:t-e-2550091-the-wright-brothers-differe...prehension-activity-ages-5-7_ver_5.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,2,2,Completed,,ef0226ef-cec2-11ed-8000-1c7d22323175
30/03/2023,14:19:53,LPD:SGSIN1BL7112:Health  Safety Policy and Arrangements 2023 v1 final_17 Feb 23 1.pdf,Center Output Tray,1 Pages Up:2 Sided:PCL6,Color:A4:Plain:White,7,4,Completed,,d40226ec-cec2-11ed-8000-1c7d22323175
30/03/2023,14:14:01,Scanner,SMTP:Jasmyn Ng ChieuNoi,PDF:JPEG,Color,3,,Completed,,088226e9-cec2-11ed-8000-1c7d22323175
30/03/2023,13:40:46,LPD:SGSIN1BL7006:Global PA Form V3.6 - US English.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Black & White:A4:Plain:White,1,1,Completed,,628226e6-cebd-11ed-8000-1c7d22323175
30/03/2023,12:07:56,LPD:SGSIN1BL7212:16001:Microsoft Word - 3.2 2020_AD_Policy Acknowledgement Slip_V2_Fillable_Form,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,1,1,Completed,,6e8226e3-ceb0-11ed-8000-1c7d22323175
30/03/2023,12:07:08,Scanner,SMTP:Jasmyn Ng ChieuNoi,PDF:JPEG,Color,1,,Completed,,518226e0-ceb0-11ed-8000-1c7d22323175
30/03/2023,11:49:43,LPD:SGSIN1BL7006:Global PA Form V3.6 - US English.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Black & White:A4:Plain:White,3,3,Completed,,e20226dd-cead-11ed-8000-1c7d22323175
30/03/2023,11:45:37,LPD:SGSIN1BC7029:16001:elevator_pitch.pdf,Center Output Tray,2 Sided:PCL6,Color:A4:Plain:White,6,4,Completed,,4a0226da-cead-11ed-8000-1c7d22323175
30/03/2023,11:40:27,Scanner,SMTP:Raudhah,PDF:JPEG,Color,1,,Completed,,980226d7-ceac-11ed-8000-1c7d22323175
30/03/2023,11:36:52,LPD:SGSIN1BL7112:chrome-extension___mhjfbmdgcfjbbpaeojofohoefgiehjai_edge_pdf_index.html,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A3:Plain:White,1,1,Completed,,168226d4-ceac-11ed-8000-1c7d22323175
30/03/2023,11:28:37,LPD:SGSIN1BL7235:Yellow Ribbon Singapore Inv 90668287 Dec 2022.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Black & White:A4:Plain:White,1,1,Completed,,f00226d1-ceaa-11ed-8000-1c7d22323175
30/03/2023,11:25:11,LPD:SGSIN1BL7235:Yellow Ribbon Singapore Inv 90668287 Dec 2022.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Black & White:A4:Plain:White,2,2,Completed,,758226ce-ceaa-11ed-8000-1c7d22323175
30/03/2023,10:58:53,LPD:SGSIN1BL7112:THIS IS MERELY A REQUEST FOR VERIFICATION AND.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Color:A4:Plain:White,1,1,Completed,,c80226cb-cea6-11ed-8000-1c7d22323175
30/03/2023,10:40:21,LPD:SGSIN1BL7006:Global PA Form V3.6 - US English.pdf,Center Output Tray,1 Pages Up:1 Sided:PCL6,Black & White:A4:Plain:White,3,3,Completed,,300226c8-cea4-11ed-8000-1c7d22323175
